"REF_DATE","GEO","DGUID","Household income","Energy type","Energy consumption","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Canada","2016A000011124","Under $20,000 (includes income loss)","Total, all energy types","Gigajoules","Gigajoules","143","units","0","v101904526","1.1.1.1","45023055","","","","0"
"2011","Canada","2016A000011124","Under $20,000 (includes income loss)","Total, all energy types","Gigajoules per household","Gigajoules","143","units","0","v101904527","1.1.1.2","56.2","","","","1"
"2011","Canada","2016A000011124","Under $20,000 (includes income loss)","Total, all energy types","Number of households","Number","223","units","0","v101904528","1.1.1.4","801460","","","","0"
"2011","Canada","2016A000011124","Under $20,000 (includes income loss)","Electricity","Gigajoules","Gigajoules","143","units","0","v101904529","1.1.2.1","24930747","","","","0"
"2011","Canada","2016A000011124","Under $20,000 (includes income loss)","Electricity","Gigajoules per household","Gigajoules","143","units","0","v101904530","1.1.2.2","31.1","","","","1"
"2011","Canada","2016A000011124","Under $20,000 (includes income loss)","Electricity","Proportion of total energy","Percent","239","units","0","v101904531","1.1.2.3","55.4","","","","1"
"2011","Canada","2016A000011124","Under $20,000 (includes income loss)","Electricity","Number of households","Number","223","units","0","v101904532","1.1.2.4","801460","","","","0"
"2011","Canada","2016A000011124","Under $20,000 (includes income loss)","Natural gas","Gigajoules","Gigajoules","143","units","0","v101904533","1.1.3.1","15226591","","","","0"
"2011","Canada","2016A000011124","Under $20,000 (includes income loss)","Natural gas","Gigajoules per household","Gigajoules","143","units","0","v101904534","1.1.3.2","78.9","","","","1"
"2011","Canada","2016A000011124","Under $20,000 (includes income loss)","Natural gas","Proportion of total energy","Percent","239","units","0","v101904535","1.1.3.3","33.8","","","","1"
"2011","Canada","2016A000011124","Under $20,000 (includes income loss)","Natural gas","Number of households","Number","223","units","0","v101904536","1.1.3.4","193106","","","","0"
"2011","Canada","2016A000011124","Under $20,000 (includes income loss)","Heating oil","Gigajoules","Gigajoules","143","units","0","v101904537","1.1.4.1","4865717","E","","","0"
"2011","Canada","2016A000011124","Under $20,000 (includes income loss)","Heating oil","Gigajoules per household","Gigajoules","143","units","0","v101904538","1.1.4.2","60.0","","","","1"
"2011","Canada","2016A000011124","Under $20,000 (includes income loss)","Heating oil","Proportion of total energy","Percent","239","units","0","v101904539","1.1.4.3","10.8","E","","","1"
"2011","Canada","2016A000011124","Under $20,000 (includes income loss)","Heating oil","Number of households","Number","223","units","0","v101904540","1.1.4.4","81077","E","","","0"
"2011","Canada","2016A000011124","$20,000 to $39,999","Total, all energy types","Gigajoules","Gigajoules","143","units","0","v101904541","1.2.1.1","142533357","","","","0"
"2011","Canada","2016A000011124","$20,000 to $39,999","Total, all energy types","Gigajoules per household","Gigajoules","143","units","0","v101904542","1.2.1.2","66.8","","","","1"
"2011","Canada","2016A000011124","$20,000 to $39,999","Total, all energy types","Number of households","Number","223","units","0","v101904543","1.2.1.4","2132569","","","","0"
"2011","Canada","2016A000011124","$20,000 to $39,999","Electricity","Gigajoules","Gigajoules","143","units","0","v101904544","1.2.2.1","78592055","","","","0"
"2011","Canada","2016A000011124","$20,000 to $39,999","Electricity","Gigajoules per household","Gigajoules","143","units","0","v101904545","1.2.2.2","36.9","","","","1"
"2011","Canada","2016A000011124","$20,000 to $39,999","Electricity","Proportion of total energy","Percent","239","units","0","v101904546","1.2.2.3","55.1","","","","1"
"2011","Canada","2016A000011124","$20,000 to $39,999","Electricity","Number of households","Number","223","units","0","v101904547","1.2.2.4","2132569","","","","0"
"2011","Canada","2016A000011124","$20,000 to $39,999","Natural gas","Gigajoules","Gigajoules","143","units","0","v101904548","1.2.3.1","52318325","","","","0"
"2011","Canada","2016A000011124","$20,000 to $39,999","Natural gas","Gigajoules per household","Gigajoules","143","units","0","v101904549","1.2.3.2","81.8","","","","1"
"2011","Canada","2016A000011124","$20,000 to $39,999","Natural gas","Proportion of total energy","Percent","239","units","0","v101904550","1.2.3.3","36.7","","","","1"
"2011","Canada","2016A000011124","$20,000 to $39,999","Natural gas","Number of households","Number","223","units","0","v101904551","1.2.3.4","639214","","","","0"
"2011","Canada","2016A000011124","$20,000 to $39,999","Heating oil","Gigajoules","Gigajoules","143","units","0","v101904552","1.2.4.1","11622977","","","","0"
"2011","Canada","2016A000011124","$20,000 to $39,999","Heating oil","Gigajoules per household","Gigajoules","143","units","0","v101904553","1.2.4.2","61.4","","","","1"
"2011","Canada","2016A000011124","$20,000 to $39,999","Heating oil","Proportion of total energy","Percent","239","units","0","v101904554","1.2.4.3","8.2","","","","1"
"2011","Canada","2016A000011124","$20,000 to $39,999","Heating oil","Number of households","Number","223","units","0","v101904555","1.2.4.4","189282","","","","0"
"2011","Canada","2016A000011124","$40,000 to $59,999","Total, all energy types","Gigajoules","Gigajoules","143","units","0","v101904556","1.3.1.1","151825164","","","","0"
"2011","Canada","2016A000011124","$40,000 to $59,999","Total, all energy types","Gigajoules per household","Gigajoules","143","units","0","v101904557","1.3.1.2","78.6","","","","1"
"2011","Canada","2016A000011124","$40,000 to $59,999","Total, all energy types","Number of households","Number","223","units","0","v101904558","1.3.1.4","1930963","","","","0"
"2011","Canada","2016A000011124","$40,000 to $59,999","Electricity","Gigajoules","Gigajoules","143","units","0","v101904559","1.3.2.1","77843120","","","","0"
"2011","Canada","2016A000011124","$40,000 to $59,999","Electricity","Gigajoules per household","Gigajoules","143","units","0","v101904560","1.3.2.2","40.3","","","","1"
"2011","Canada","2016A000011124","$40,000 to $59,999","Electricity","Proportion of total energy","Percent","239","units","0","v101904561","1.3.2.3","51.3","","","","1"
"2011","Canada","2016A000011124","$40,000 to $59,999","Electricity","Number of households","Number","223","units","0","v101904562","1.3.2.4","1930963","","","","0"
"2011","Canada","2016A000011124","$40,000 to $59,999","Natural gas","Gigajoules","Gigajoules","143","units","0","v101904563","1.3.3.1","65211080","","","","0"
"2011","Canada","2016A000011124","$40,000 to $59,999","Natural gas","Gigajoules per household","Gigajoules","143","units","0","v101904564","1.3.3.2","81.5","","","","1"
"2011","Canada","2016A000011124","$40,000 to $59,999","Natural gas","Proportion of total energy","Percent","239","units","0","v101904565","1.3.3.3","43.0","","","","1"
"2011","Canada","2016A000011124","$40,000 to $59,999","Natural gas","Number of households","Number","223","units","0","v101904566","1.3.3.4","799725","","","","0"
"2011","Canada","2016A000011124","$40,000 to $59,999","Heating oil","Gigajoules","Gigajoules","143","units","0","v101904567","1.3.4.1","8770964","","","","0"
"2011","Canada","2016A000011124","$40,000 to $59,999","Heating oil","Gigajoules per household","Gigajoules","143","units","0","v101904568","1.3.4.2","57.6","","","","1"
"2011","Canada","2016A000011124","$40,000 to $59,999","Heating oil","Proportion of total energy","Percent","239","units","0","v101904569","1.3.4.3","5.8","","","","1"
"2011","Canada","2016A000011124","$40,000 to $59,999","Heating oil","Number of households","Number","223","units","0","v101904570","1.3.4.4","152361","","","","0"
"2011","Canada","2016A000011124","$60,000 to $79,999","Total, all energy types","Gigajoules","Gigajoules","143","units","0","v101904571","1.4.1.1","161241069","","","","0"
"2011","Canada","2016A000011124","$60,000 to $79,999","Total, all energy types","Gigajoules per household","Gigajoules","143","units","0","v101904572","1.4.1.2","94.3","","","","1"
"2011","Canada","2016A000011124","$60,000 to $79,999","Total, all energy types","Number of households","Number","223","units","0","v101904573","1.4.1.4","1708977","","","","0"
"2011","Canada","2016A000011124","$60,000 to $79,999","Electricity","Gigajoules","Gigajoules","143","units","0","v101904574","1.4.2.1","75068278","","","","0"
"2011","Canada","2016A000011124","$60,000 to $79,999","Electricity","Gigajoules per household","Gigajoules","143","units","0","v101904575","1.4.2.2","43.9","","","","1"
"2011","Canada","2016A000011124","$60,000 to $79,999","Electricity","Proportion of total energy","Percent","239","units","0","v101904576","1.4.2.3","46.6","","","","1"
"2011","Canada","2016A000011124","$60,000 to $79,999","Electricity","Number of households","Number","223","units","0","v101904577","1.4.2.4","1708977","","","","0"
"2011","Canada","2016A000011124","$60,000 to $79,999","Natural gas","Gigajoules","Gigajoules","143","units","0","v101904578","1.4.3.1","78014378","","","","0"
"2011","Canada","2016A000011124","$60,000 to $79,999","Natural gas","Gigajoules per household","Gigajoules","143","units","0","v101904579","1.4.3.2","86.1","","","","1"
"2011","Canada","2016A000011124","$60,000 to $79,999","Natural gas","Proportion of total energy","Percent","239","units","0","v101904580","1.4.3.3","48.4","","","","1"
"2011","Canada","2016A000011124","$60,000 to $79,999","Natural gas","Number of households","Number","223","units","0","v101904581","1.4.3.4","906069","","","","0"
